Accident Latitude,Accident Longitude,All Costs,Risk Score
18.44801,-66.07476,490276,0.05832965680669069
21.30438,-158.0937,1200,0.0001427677230132187
21.31668,-158.09993,42333,0.005036488348598824
21.31774,-157.89055,2816000,0.33502825667102
23.336784,-94.95822,72225,0.008592832328858102
25.964238,-97.381096,87130,0.01036612642178479
26.650465,-98.460842,197315,0.023475177721961046
27.5529182,-97.9228261,45150,0.005371635578372355
27.68402,-97.83324,115200,0.013705701409268998
27.72222,-97.76397,188678,0.022447607035573403
27.770422,-97.54975,1140259,0.13566015089610814
27.783128,-97.825896,793376,0.09439040417777951
27.79952,-97.5645,11400,0.001356293368625578
27.80113016,-97.45456557,86000,0.010231686815947341
27.80859,-97.43599,21000,0.002498435152731328
27.8125,-97.5036,26600,0.0031646845267930147
27.8144306,-97.5037194,5050,0.0006008141676806288
27.815402,-97.403012,487246,0.05796916830608231
27.8189044,-97.5079139,2750,0.00032717603190529296
27.8215,-97.395,965000,0.11480904392313007
27.826919,-97.198572,85678,0.010193377476938796
27.829677,-97.197331,441603,0.05253887898817203
27.829994,-97.50026,24525,0.0029178153390826576
27.831131,-97.518106,19214,0.0022859491916466536
27.83125,-97.51745,9140,0.0010874141569506826
27.83146,-97.51851,16450,0.0019571075363062065
27.832444,-97.501889,3525,0.00041938018635133005
27.83668,-97.52718,8650,0.001029117336720285
27.839803,-97.531604,5615,0.0006680339705993526
27.86028,-82.59958,437000,0.051991245797313825
27.8608333,-82.1983333,185500,0.022069510515793395
27.87527711,-91.9863888,25149,0.0029920545550495316
27.91036,-97.40839,63050,0.007501254113319533
27.943,-90.998,2400000,0.28553544602643743
27.9469444,-90.9969444,1020,0.00012135256456123592
27.959521,-97.360576,645000,0.07673765111960507
27.97348,-82.32001,4741387,0.5640975215953967
28.00917,-97.572805,5100,0.0006067628228061796
28.05529,-97.32797,357269,0.042505401361008034
28.059821,-97.687843,196600,0.02339011195366567
28.059862,-97.687872,11500,0.0013681906788766795
28.0684416,-81.785888,37365,0.004445429975324098
28.10406,-90.79238,773,9.196620824101507e-05
28.10406,-90.79237,95,1.1302444738546483e-05
28.16015,-97.25506,513,6.1033201588151e-05
28.260372,-92.250136,1450000,0.17251099864097263
28.279502,-97.29544,2509,0.00029850351420013813
28.29088,-98.90041,76224,0.009068605765799653
28.33034,-99.70332,535076,0.06365965179918417
28.3445,-97.1422,5100,0.0006067628228061796
28.3448,-98.1212,13540,0.0016108958079991515
28.3563889,-99.571389,42600,0.005068254166969265
28.37,-99.641,10142,0.0012066252056667202
28.40632,-98.13716,32000,0.003807139280352499
28.408293,-98.212383,6150,0.000731684580442746
28.41922,-97.9921,6834,0.0008130621825602806
28.422635,-81.369965,115,1.3681906788766796e-05
28.422698,-81.370474,174100,0.02071321714716782
28.43916,-98.334664,19949,0.00237339442199225
28.4601,-98.44885,540000,0.06424547535594843
28.4622222,-98.2225,48297,0.005746043931974521
28.46343,-99.14065,250411,0.029792173572885928
28.480925,-96.37387,68,8.090170970749062e-06
28.488488,-98.160559,1723695,0.20507334193272503
28.5088889,-99.2227778,46048,0.005478473424427247
28.510104,-99.223506,484738,0.05767078376498468
28.524255,-99.221245,38129,0.004536325425642513
28.525786,-99.222804,1050,0.0001249217576365664
28.526987,-99.223782,12050,0.0014336258852577382
28.54022,-99.18709,243264,0.028941872809239703
28.558649,-98.163536,2100,0.0002498435152731328
28.560826,-95.191378,7100,0.0008447090278282108
28.57446,-96.93008,1042447,0.12402315379330067
28.58189,-97.78703,441,5.246713820735789e-05
28.605919,-97.800378,47847,0.005692506035844564
28.60758,-97.81663,88000,0.010469633020969375
28.61171,-97.09409,554500,0.06597058534235815
28.617778,-92.068889,0,0.0
28.618056,-92.069167,230005,0.027364408443046145
28.63112,-98.789953,2505,0.0002980276217900941
28.68555,-91.04555,2201260,0.2618907316333982
28.69666,-96.55023,49750,0.005918911849923027
28.711239,-89.437681,1036940,0.12336796891777252
28.7692347,-96.5543421,8003,0.0009521417393956579
28.804167,-96.793611,50340,0.005989105980404526
28.809202,-96.978674,9600,0.0011421417841057497
28.8239,-97.9906,2400,0.0002855354460264374
28.84642,-98.08712,67000,0.007971197868238045
28.84754,-98.08785,9090,0.001081465501825132
28.8559,-94.8926,1050,0.0001249217576365664
28.885881,-96.433027,782260,0.09306789917026707
28.894955,-97.759029,43897,0.0052225622809260516
28.91382,-96.628799,45679,0.005434572349600682
28.920722,-98.141111,3070,0.0003652474247088179
28.928655,-97.786325,11347,0.001349987794192494
28.9351,-95.3198,29185,0.0034722299967839907
28.93564,-95.320507,15100,0.0017964938479163356
28.948749,-95.432151,196960,0.023432942270569634
28.949113,-95.430507,406250,0.04833282289510009
28.94921,-95.429876,40500,0.0048184106516961315
28.949425,-95.430279,25,2.97432756277539e-06
28.949448,-95.430748,27950,0.003325298215182886
28.949612,-95.430288,0,0.0
28.949672,-95.431631,3525,0.00041938018635133005
28.949889,-95.432381,112000,0.013324987481233747
28.950662,-95.431357,529158,0.062955568978524
28.95081,-95.43176,91200,0.010850346949004623
28.950953,-95.432542,5200,0.0006186601330572812
28.951037,-95.433298,39468,0.004695630409904764
28.951204,-95.433627,16200,0.001927364260678453
28.9598,-95.31151,6213980,0.7392964795414008
29.013562,-96.257299,550,6.543520638105859e-05
29.04464,-97.49499,935525,0.11130231172661789
29.04718,-95.35215,236000,0.028077652192599684
29.06023333,-95.35065556,39070,0.004648279115105379
29.066379,-97.369206,14474,0.00172201668574444
29.066613,-97.368731,37742,0.004490282834970751
29.069927,-95.716402,60000,0.007138386150660937
29.074975,-95.732612,11000,0.0013087041276211718
29.084431,-95.403144,338500,0.040272395199978786
29.08966,-96.62664,1500,0.0001784596537665234
29.089664,-96.626644,0,0.0
29.1049,-90.1919,1110,0.00013206014378722733
29.105684,-90.192503,96000,0.011421417841057498
29.10788,-90.16212,175000,0.02082029293942773
29.11242,-98.11987,55784,0.006636795550474494
29.119939,-90.132573,767844,0.09135278292446827
29.1425929,-95.9728079,438976,0.05222633664787559
29.145153,-95.67591,14850,0.0017667505722885818
29.1452,-95.68005,18000,0.002141515845198281
29.145494,-95.674314,26553,0.0031590927909749974
29.146389,-96.0775,185750,0.022099253791421147
29.1514,-89.5806,10000,0.0011897310251101562
29.193322,-96.985528,2550,0.0003033814114030898
29.193445,-96.984823,70530,0.008391172920101931
29.19462,-96.98528,27800,0.0033074522498062336
29.206868,-94.561023,40400,0.00480651334144503
29.21194,-98.40472,112245,0.013354135891348946
29.214284,-97.518923,2590,0.00030814033550353044
29.22007944,-89.3959391,3980,0.00047351294799384216
29.238862,-89.384553,30192,0.0035920359110125834
29.245664,-88.982508,1807920,0.21509385149171534
29.253809,-89.967529,15000,0.0017845965376652342
29.2564,-89.1883,13933600,1.657723621147487
29.25694,-89.96583,1250000,0.1487163781387695
29.26536,-88.77223,2000010,0.23794739475305632
29.274667,-89.952333,2801500,0.33330314668461025
29.286841,-89.929906,1300,0.0001546650332643203
29.30541,-97.400301,45800,0.005448968095004515
29.310878,-89.296158,16025,0.0019065439677390251
29.31589,-89.28764,594500,0.07072950944279878
29.317764,-96.02161,2200,0.00026174082552423436
29.3191,-89.8076,6940710,0.825757802329231
29.337541,-96.678846,940,0.00011183471636035468
29.345095,-94.935211,354261,0.0421475302686549
29.34525,-94.935183,286115,0.03403998922493923
29.345358,-94.93561,1150,0.00013681906788766795
29.345464,-94.935654,29540,0.003514465448175401
29.34551,-94.93573,3600,0.0004283031690396562
29.34578,-94.936904,385900,0.04591172025900092
29.3475,-94.94167,1400,0.00016656234351542185
29.348547,-94.939136,2200,0.00026174082552423436
29.348769,-94.93915,42065,0.005004603557125871
29.349,-94.939333,4055,0.00048243593068216824
29.34921,-94.93901,194586,0.023150500125208483
29.358902,-95.85094,0,0.0
29.36555,-94.93971,100,1.189731025110156e-05
29.36557,-94.93976,185500,0.022069510515793395
29.36586,-89.34615,130300,0.015502195257185332
29.366003,-94.929943,14,1.6656234351542184e-06
29.368056,-97.204444,360000,0.04283031690396562
29.3736,-89.5514,400625,0.047663599193475625
29.374592,-89.552288,30015,0.0035709776718681335
29.3753,-89.3561,906900,0.10789670666724006
29.3786,-95.1101,550,6.543520638105859e-05
29.37889,-94.93121,100000,0.011897310251101561
29.38357,-94.92492,450172,0.05355835950358892
29.39972,-94.96417,106030,0.012614718059242986
29.4009,-94.95689,2390017,0.28434773754407
29.419652,-95.308771,32595,0.003877928276346554
29.419868,-89.515921,22004,0.0026178841476523873
29.422222,-89.99,170000,0.020225427426872652
29.422303,-95.140306,0,0.0
29.4305,-95.1201,141240,0.016803760998655846
29.4313,-95.65,48687,0.005792443441953817
29.43573,-95.121835,324887,0.03865281435549633
29.4388,-96.804483,45540,0.005418035088351651
29.441693,-98.369949,622321,0.07403946012775775
29.44778,-90.26972,321684,0.038271743508153544
29.461595,-95.245072,870020,0.10350897864663379
29.466936,-89.514842,600200,0.07140765612711156
29.46867,-90.25267,150002,0.01784620332285736
29.47,-90.25444,667000,0.07935505937484741
29.470028,-96.626722,2175,0.0002587664979614589
29.47097,-95.632929,51,6.067628228061797e-06
29.473497,-96.621621,3090,0.0003676268867590382
29.4745,-95.1642,4000,0.0004758924100440624
29.485,-89.4441666,470002,0.05591759612638236
29.51419,-93.5739,36000,0.004283031690396562
29.52032,-95.107733,222000,0.026412028757445465
29.52107,-93.5745,22000,0.0026174082552423436
29.52225,-95.108347,14100,0.0016775207454053202
29.526883,-95.104507,3665,0.0004360364207028722
29.54619,-95.213783,45800,0.005448968095004515
29.56687,-98.12972,762000,0.09065750411339389
29.57863,-95.017273,100,1.189731025110156e-05
29.579031,-96.076544,70015,0.008329901772308758
29.605714,-92.901848,253300,0.030135886866040254
29.610094,-95.181228,40050,0.004764872755566175
29.614125,-95.184793,65075,0.007742174645904341
29.614404,-95.182757,1015,0.00012075769904868083
29.615889,-96.344667,79000,0.009398875098370233
29.617889,-96.350778,72150,0.008583909346169776
29.6218722,-90.68983889,5000,0.0005948655125550781
29.62333683,-95.05727158,119463,0.014212883745273457
29.623347,-95.04155,130030,0.015470072519507359
29.630232,-95.058734,1294,0.0001539511946492542
29.630833,-95.119722,6250,0.0007435818906938476
29.631459,-91.532241,42025,0.0049998446330254305
29.633617,-90.1741,10262149,1.2209197049603164
29.646875,-96.518653,181700,0.021617412726251534
29.66904,-95.05733,295600,0.035168449102256215
29.68112,-95.01403,1750000,0.2082029293942773
29.69373658,-95.03284979,145513,0.017312133065685416
29.69438,-95.02538,135383,0.016106935537248825
29.69581,-89.97761,306,3.640576936837078e-05
29.701113,-94.967825,750,8.92298268832617e-05
29.70158,-95.0414,2500,0.00029743275627753906
29.705369,-95.249282,53713,0.006390402255174181
29.705972,-95.237834,285000,0.03390733421563945
29.70639,-95.23416,3525,0.00041938018635133005
29.706587,-95.228165,9275000,1.1034755257896698
29.706862,-95.249419,776753,0.0924127142947389
29.70687777,-95.24941107,1240000,0.14752664711365934
29.708617,-95.1625,41425,0.004928460771518822
29.70989,-90.25945,67542,0.008035681289799016
29.712258,-95.880858,138000,0.016418288146520153
29.71478,-95.17611,30050,0.0035751417304560186
29.715674,-95.178747,138850,0.016519415283654516
29.716111,-95.2219583,10000000,1.189731025110156
29.716471,-95.217226,2700000,0.32122737677974217
29.7169,-95.2364,78188,0.009302268939131287
29.717115,-95.17842,627734,0.07468346153164987
29.717169,-95.179264,600,7.138386150660935e-05
29.717371,-95.179389,15050,0.0017905451927907848
29.7177027,-95.1871166,256700,0.030540395414577707
29.717845,-95.178373,7600,0.0009041955790837186
29.71816,-95.17971,301311,0.03584790449069662
29.7182,-95.1278,7600,0.0009041955790837186
29.71831,-95.18038,25500,0.003033814114030898
29.71871,-95.17964,7055,0.0008393552382152151
29.718767,-95.179554,5000,0.0005948655125550781
29.718947,-95.059155,9530,0.0011338136669299787
29.71897,-95.1793,340000,0.040450854853745305
29.71927,-95.1986,1470000,0.17489046069119296
29.720014,-95.14234,709630,0.084426882734892
29.72034,-95.10635,5550,0.0006603007189361366
29.72056,-95.13222,155050,0.01844677954433297
29.724843,-95.884289,5913500,0.7035474416988907
29.72536,-95.20334,3250539,0.38672670966305417
29.726669,-90.592643,322649,0.03838655255207667
29.7268,-95.141,4575,0.0005443019439878964
29.726944,-95.203333,33295,0.003961209448104265
29.72703,-95.1737,12590,0.0014978713606136865
29.72941,-95.22026,7525,0.0008952725963953924
29.72979,-95.22212,450888,0.0536435442449868
29.73069,-95.23189,7000,0.0008328117175771092
29.73525,-95.02365,49050,0.005835630678165315
29.73667,-95.02522,25575,0.0030427370967192244
29.74462,-95.20147,60000,0.007138386150660937
29.745503,-95.128159,2525,0.0003004070838403144
29.74697,-95.12399,16534,0.001967101276917132
29.74734,-95.20455,107000,0.012730121968678669
29.747375,-95.130697,155,1.844083088920742e-05
29.7474,-95.20457,16800,0.0019987481221850623
29.747453,-95.127678,365145,0.04344243351638479
29.747625,-95.128797,2525,0.0003004070838403144
