Accident Latitude,Accident Longitude,Predicted Risk Score
38.6707,-97.78123,0.00020283896999929597
43.94028,-70.49336,0.0005623689213863395
30.1824,-93.3524,4.926640591629832e-05
46.6893,-92.0612,0.0014889878750966685
33.58266,-96.64881,0.004069312691541073
48.99555,-97.52554,0.5870797787787848
29.4305,-95.1201,0.008921869095438026
30.08533,-94.3805,8.177360112327491e-05
29.4305,-95.1201,0.005145239039322768
29.71478,-95.17611,0.004172543066927323
28.05529,-97.32797,0.04618264880492045
38.34519,-98.31356,0.0015810616913058224
35.94466,-96.75427,0.004538387769599739
35.93749,-96.74417,0.0026590066072887278
40.16833,-90.56593,0.004315850869506202
36.39836,-96.74622,0.32855772723643734
30.1724,-90.782,5.397641385739059e-05
29.4305,-95.1201,0.003950626518404831
46.8197,-95.1489,0.008451868706608842
42.38229,-78.91763,0.009827445104948205
33.80933,-118.25413,0.5930168849707037
38.81386,-99.42139,0.0005484720001074444
38.32113,-87.34782,0.00014025422278861652
39.0081,-104.01317,0.0032880450466956316
38.82204,-90.07892,0.005948819744606815
35.27901,-119.31192,0.0009401773465030697
30.78251,-90.75851,0.026946157352849495
31.63251,-89.52266,0.000347822144278405
37.803255,-96.873398,0.0010490141759695454
38.32113,-87.34782,0.00029249053787330965
29.47,-90.25444,0.08255837324064172
29.8916,-93.9897,0.00796778827656795
46.851256,-102.770368,0.0013556562325026749
37.355914,-98.206945,0.0008283507349363404
42.9289,-87.8884,0.0006310040441035131
37.80218,-96.90935,0.0006094780950847861
30.0795,-92.7465,0.04949578975914323
30.54741,-90.16677,0.00012655378795075342
39.8106,-86.3342,0.0006807705559921995
41.94352,-88.23353,0.0039479048492390345
39.13776,-94.5968,0.00017443362829633598
40.6086,-74.2399,0.002163637029187913
32.4785,-94.8679,0.012298673799664246
31.13284,-101.18974,0.002013993393187131
32.22471,-101.4044,0.0038886650701784793
47.71696,-117.35583,0.0011685223662931815
41.21235,-95.8301,0.017448185960353087
36.6659,-97.8846,0.20577194538008037
35.48354,-80.7357,0.0020234584080984917
32.48325,-94.83034,0.0020266540676500567
47.68857,-95.41732,0.002402146950731512
37.10847,-100.80037,0.0005112482792314912
28.10406,-90.79238,9.874021062714885e-05
30.16801,-93.34001,0.008318537139274565
30.17319,-90.78774,0.0017471223844735873
39.36359,-93.45965,0.0016222647325609316
39.13844,-94.60013,0.010863254815955122
32.48248,-94.8391,0.000608732351329735
32.06839,-96.47081,0.0034634582787757377
46.68889,-92.05972,0.001080933104056588
43.29183,-95.15157,0.06622147131627495
32.07267,-98.46948,9.965969936067239e-05
32.652,-103.1393,0.000145056797127167
38.5997,-121.4483,0.05840572253136855
35.95885,-96.75655,0.006963077350875182
35.01937,-119.06305,0.0023754326828247735
41.5569,-87.8861,0.02055205017331554
29.39972,-94.96417,0.014334156790483875
30.71121,-91.28349,0.0005288099524173142
30.241,-93.27546,0.0005117848470294576
35.93985,-96.75629,0.00015460990711635547
30.54741,-90.16677,0.0004912027985820894
